title,description,category,url,image,provider,datePublished,sentiment
XRP News Today: Ripple CEO Criticizes SEC Strategy as XRP Trails Market,"On Friday, October 11, XRP gained 1.55%, following a rise of 1.22% from the previous session, closing at $0.5382. Despite the gains, XRP underperformed the broader crypto market, which rallied 3.11% to a total market cap of $2.130 trillion.",Business,https://www.fxempire.com/forecasts/article/xrp-news-today-ripple-ceo-criticizes-sec-strategy-as-xrp-trails-market-1468111,https://www.bing.com/th?id=OVFT.p5fSiY4hyYqaiU-hbxwsFC&pid=News,FXEmpire.com,12-Oct-24,neutral
Ground-breaking new Plymouth salon opens with a difference,"After two years of planning, a new hair salon has opened on Mutley Plain ... Click here to join PlymouthLive on WhatsApp and we'll send breaking news and top stories directly to your phone. We also treat our community members to special offers, promotions ...",ScienceAndTechnology,https://www.msn.com/en-gb/lifestyle/lifestylegeneral/ground-breaking-new-plymouth-salon-opens-with-a-difference/ar-AA1s8cS4,https://www.bing.com/th?id=OVFT.LNz2edehFb7oGmn0uHJ9JC&pid=News,Plymouth Herald on MSN.com,12-Oct-24,neutral
"Mohammed Shami OUT, Yashasvi Jaiswal IN: Complete List Of Changes In India Squad From WTC 2021 Final Vs New Zealand","The last time that India and New Zealand took on each other was way back in 2021 during the World Test Championship (WTC) final at the Rose Bowl in Southampton. Three years have passed since then, and the India squad that has been announced for the recent series has undergone a lot of changes,",LifeStyle,https://www.msn.com/en-in/sports/cricket/mohammed-shami-out-yashasvi-jaiswal-in-complete-list-of-changes-in-india-squad-from-wtc-2021-final-vs-new-zealand/ar-AA1s8Rqu,https://www.bing.com/th?id=OVFT.35fE6TybVPYk7IZ_oIiC_S&pid=News,Times Now on MSN.com,12-Oct-24,neutral
New tower truck hottest news in Marietta firefighting,The Marietta Fire Department unveiled its new tower truck Friday as officials believe it will be serving the community for at least the next 30 years. The department received the new 2024 Sutphen SPH100 ladder truck and was showing it to the community as well as Mayor Josh Schlicher and others.,Politics,https://www.newsandsentinel.com/news/community-news/2024/10/new-tower-truck-hottest-news-in-marietta-firefighting/,https://www.bing.com/th?id=OVFT.W3yRnOeJ2uTDhNJlFIoiOi&pid=News,Parkersburg News and Sentinel,12-Oct-24,neutral
"Dramatic new video shows shivering climbers stuck on an icy ledge at 21,000ft - here's how they survived","The shocking new footage shows the women climbers on a ledge, looking cold, emaciated and hungry after they got into difficulty while trekking up India's Chaukhamba mountain.",World,https://www.dailymail.co.uk/news/article-13950919/climbers-stuck-himalayas-michelle-dvorak-fay-manners.html,https://www.bing.com/th?id=OVFT.qvIlfRzTKCf_TT4lzo1JoC&pid=News,Daily Mail,12-Oct-24,negative
Inside Holly Willoughby's plush London home as she prepares for huge new career move,The former This Morning star lives in a lavish £3 million pound Edwardian home in South West London with her husband Dan and three children.,Entertainment,https://www.dailyrecord.co.uk/entertainment/celebrity/gallery/inside-holly-willoughbys-plush-london-33843643,https://www.bing.com/th?id=OVFT.U1BvTrBuw57Y93e9QWDwQS&pid=News,Daily Record,12-Oct-24,neutral
New Christopher Nolan movie swerves Warner Bros in alleged snub,"Christopher Nolan’s new movie is gaining traction, but according to reports, Warner Bros have missed out on his latest project.",Entertainment,https://www.dexerto.com/tv-movies/christopher-nolan-new-movie-warner-bros-snub-2930654/,https://www.bing.com/th?id=OVFT.8QCCXsMdl2YaQmHfMBppbS&pid=News,Dexerto,12-Oct-24,neutral
5 Takeaways From Vance’s Interview With The New York Times,"Pressed to say if he thought the 2020 election was stolen, JD Vance repeatedly sidestepped. And he defended the sentiment behind his “childless cat ladies” comment, even as he regretted his word choice.",Politics,https://www.nytimes.com/2024/10/12/us/politics/vance-interview-takeaways.html,https://www.bing.com/th?id=OVFT.JjlAR5UScU-27_IjK00s8i&pid=News,The New York Times,12-Oct-24,neutral
Middle East latest: Israel's military orders people in northern Gaza to evacuate; 'outrage' after peacekeepers injured in Lebanon,"Israel's military has told people in northern Gaza to head south to avoid being in a ""dangerous combat zone"". Meanwhile, France, Spain and Italy have accused Israel of violating international law after peacekeepers were injured in Lebanon.",World,https://news.sky.com/story/israel-hezbollah-lebanon-beirut-un-tank-iran-gaza-hamas-latest-sky-news-live-12978800?postid=8429120,https://www.bing.com/th?id=OVFT.Z144WY2PUcn5xVqAo35uNC&pid=News,Sky,12-Oct-24,negative
Lennon Miller one Rangers should 'definitely' be watching as Cerny and Bajrami snapped in shirt exchange - Ibrox news bulletin,It is your latest headlines from Light Blues with one former star signing the praises of Motherwell top talent Lennon Miller,Sports,https://www.msn.com/en-gb/sport/football/lennon-miller-one-rangers-should-definitely-be-watching-as-cerny-and-bajrami-snapped-in-shirt-exchange-ibrox-news-bulletin/ar-AA1s8zyl,https://www.bing.com/th?id=OVFT.B-5X65uGltwLW8fFag5NJy&pid=News,Daily Record on MSN.com,12-Oct-24,positive
